case_id,case_group,file_type,difficulty,query_type,query,reference_answer,answer,should_abstain,abstained,generation_mode,citation_valid,expected_chunk_retrieved,expected_chunk_model_hit,expected_chunk_cited,semantic_similarity,reference_token_recall,numeric_fact_recall,grounded_claim_rate,automated_quality_flag,automated_review_reasons,wall_seconds,manual_correctness_0_2,manual_completeness_0_2,manual_groundedness_0_2,manual_citation_quality_0_2,manual_abstention_correct_0_1,manual_notes
formal_csv_finance_september,supported,csv,medium,multi_fact,"What was Finance's September 2025 budget performance, which expense categories were included, and who was responsible?","Finance had a budget and actual expenditure of AUD 450,000, so the variance was zero and the department was on budget. The categories were Finance salaries, Audit and tax, and Shared finance services. Priya Nair was the responsible manager.","Finance's September 2025 budget performance showed actual expenditure of AUD 450,000 against a total expense budget of AUD 450,000, resulting in an on-budget variance [1]. The included expense categories were Finance salaries, Audit and tax, and Shared finance services [1], with Priya Nair identified as the responsible manager [1].",False,False,ollama,True,True,True,True,0.8024,0.85,1.0,1.0,pass,,33.909,,,,,,
formal_csv_it_august,supported,csv,hard,numeric_comparison,"For Information Technology in August 2025, how far was actual expenditure below budget and below the pre-close forecast?","Actual expenditure was AUD 382,200 against a budget of AUD 390,000, producing a favourable variance of AUD 7,800 or 2.00%. It was also AUD 1,560 below the pre-close forecast of AUD 383,760.","In 2025-08, Information Technology had a total expense budget of AUD 390,000 and actual expenditure of AUD 382,200. [1] The total variance was -AUD 7,800 (-2.00%), classified as Favourable. [1] The pre-close forecast was AUD 383,760, and the actual-versus-forecast variance was -AUD 1,560. [1] The included categories were Software and licences, Infrastructure, Technology projects. [1] The responsible manager was Ethan Brooks. [1]",False,False,context_extractive_fallback,True,True,True,True,0.7662,0.8095,0.7143,0.8,review,At least one reference numeric fact requires review. | At least one cited claim requires grounding review.,55.578,,,,,,
formal_csv_marketing_january,supported,csv,medium,numeric_comparison,How did January 2026 Marketing expenditure compare with both budget and the pre-close forecast?,"Marketing budget, actual expenditure and the pre-close forecast were all AUD 500,000. Both the budget variance and the actual-versus-forecast variance were zero.","In January 2026, Marketing expenditure of AUD 500,000 matched both the budget and pre-close forecast at AUD 500,000 each [1]. The total variance was classified as On budget with a difference of AUD 0 from the budget [1], while actuals also equaled the pre-close forecast resulting in an AUD 0 variance against it [1].",False,False,ollama,True,True,True,True,0.9111,0.7143,1.0,1.0,pass,,22.719,,,,,,
formal_csv_people_culture_july,supported,csv,easy,numeric_lookup,"Was People & Culture on budget in July 2025, and what were its budget, actual expenditure and responsible manager?","People & Culture was on budget. Both budget and actual expenditure were AUD 480,000, and the responsible manager was Grace Lee.","People & Culture was on budget in July 2025 with an expense budget of AUD 480,000 and actual expenditure of AUD 480,000 [1]. The responsible manager for this department summary is Grace Lee [1].",False,False,ollama,True,True,True,True,0.8059,0.9231,1.0,1.0,pass,,20.529,,,,,,
formal_csv_retail_operations_october,supported,csv,medium,multi_fact,"Summarise October 2025 Retail Operations expenditure, including budget, actual, total variance, forecast variance and included categories.","Retail Operations had a budget of AUD 2,200,000 and actual expenditure of AUD 2,233,000. The total variance was AUD 33,000 or 1.50% unfavourable. The pre-close forecast was AUD 2,226,400, so actual expenditure was AUD 6,600 above forecast. The categories were Store labour, Occupancy, and Repairs and maintenance.","In October 2025, Retail Operations had an expense budget of AUD 2,200,000 and actual expenditure of AUD 2,233,000 [1]. The total variance was AUD 33,000 (1.50%), classified as Unfavourable [1], while the actual-versus-forecast variance was AUD 6,600 based on a pre-close forecast of AUD 2,226,400 [1]. Included categories were Store labour, Occupancy, Repairs and maintenance [1], with James Carter identified as the responsible manager [1].",False,False,ollama,True,True,True,True,0.887,0.9231,1.0,1.0,pass,,29.051,,,,,,
formal_csv_supply_chain_december,supported,csv,hard,numeric_comparison,"How did December 2025 Supply Chain expenditure compare with budget and the pre-close forecast, and who was responsible?","Supply Chain had a budget of AUD 1,420,000 and actual expenditure of AUD 1,505,200, an unfavourable variance of AUD 85,200 or 6.00%. Actual expenditure was AUD 17,040 above the pre-close forecast of AUD 1,488,160. Liam O'Connor was the responsible manager.","In December 2025, Supply Chain expenditure of AUD 1,505,200 was above its budget of AUD 1,420,000 by an unfavourable variance of AUD 85,200 [1]. The actual spending exceeded the pre-close forecast of AUD 1,488,160 with a positive (unfavourable) variance of AUD 17,040 [1]. Liam O'Connor was identified as the responsible manager for this expenditure [1].",False,False,ollama_repair,True,True,True,True,0.9459,0.96,0.7143,1.0,review,At least one reference numeric fact requires review.,59.198,,,,,,
formal_docx_accrual_policy,supported,docx,medium,policy_lookup,"When must an accrual be recognised, what is the minimum individual threshold, and how must it be supported and subsequently reviewed?","An accrual is required when goods or services have been received but the supplier invoice has not been recorded. The minimum individual threshold is AUD 5,000. It must be supported by a purchase order, contract, supplier estimate or another reasonable calculation, reviewed monthly and reversed when the related invoice is recorded.","An accrual must be recognised when goods or services have been received but the supplier invoice has not been recorded [1]. The minimum individual threshold for an accrual is AUD 5,000 per item [2]. Accruals must be supported by a purchase order, contract, supplier estimate, or other reasonable calculation and reviewed each month to ensure they are reversed when the related invoice is recorded [1].",False,False,ollama,True,True,True,True,0.9537,0.8929,1.0,1.0,pass,,28.993,,,,,,
formal_docx_capex_approval_300k,supported,docx,hard,policy_application,"A capital expenditure project is expected to cost AUD 300,000. Who must approve it, and what supporting documentation is required?","It requires approval from the Finance Director, Chief Executive Officer and Board of Directors. A documented business case is also required, covering expected benefits, implementation cost, timing, risks and financial return.","A capital expenditure project costing AUD 300,000 requires approval from the Finance Director, Chief Executive Officer, and Board of Directors [1]. Supporting documentation must include a documented business case containing expected benefits, implementation cost, timing, risks, and financial return [1].",False,False,ollama,True,True,True,True,0.5576,0.8571,,0.5,review,Answer/reference semantic similarity is below the review threshold. | At least one cited claim requires grounding review.,21.679,,,,,,
formal_docx_forecast_commentary_threshold,supported,docx,medium,policy_lookup,"Who is responsible for departmental forecast completeness, when is written commentary required, and what role does the Head of FP&A perform?","Department Directors are responsible for the completeness and reasonableness of their forecasts. Written commentary is required for material forecast movements above AUD 100,000. The Head of FP&A consolidates and challenges departmental submissions before executive review.","Department Directors are responsible for the completeness and reasonableness of their forecasts [1]. Written commentary is required when material forecast movements exceed AUD 100,000 regarding revenue, expenditure, headcount, or capital expenditure [1]. The Head of FP&A consolidates departmental submissions and challenges them before executive review [1].",False,False,ollama,True,True,True,True,0.9409,0.96,1.0,1.0,pass,,21.873,,,,,,
formal_docx_manual_journal_controls,supported,docx,medium,control_lookup,"What documentation and segregation-of-duties controls apply to manual journals, and when is Financial Controller approval required?","Every manual journal must include a clear description, calculation and supporting documentation. The preparer and approver must be different people, and preparers cannot approve their own journals. Journals above AUD 100,000 require Financial Controller approval.","Manual journals must include a clear description, calculation, and supporting documentation [1]. The preparer and approver must be different people, with no journal preparer allowed to approve their own work [1]. Financial Controller approval is required for manual journals above AUD 100,000 [3], as the policy owner Priya Nair oversees this control area [2].",False,False,ollama,True,True,True,True,0.9566,0.8462,1.0,1.0,pass,,34.027,,,,,,
